date,company,satellites_in_orbit,satellites_operational
2019-05-24,Starlink,60,0
2020-10-01,Starlink,700,600
2021-12-31,Starlink,1900,1700
2022-12-31,Starlink,3300,3100
2023-10-06,Amazon Leo,2,2
2023-12-31,Starlink,5300,5050
2024-12-31,Starlink,6900,6600
2025-04-28,Amazon Leo,27,27
2025-06-23,Amazon Leo,54,54
2025-07-16,Amazon Leo,78,78
2025-12-31,Starlink,9500,9350
2026-01-15,Amazon Leo,180,180
2026-02-15,Amazon Leo,212,210
2026-03-01,Starlink,10049,10039
2026-04-27,Amazon Leo,231,225
2026-05-31,Amazon Leo,283,270
2026-06-01,Starlink,10413,10397
2026-07-18,Amazon Leo,394,380
2026-07-19,Starlink,10844,10828
